 #      X        DX        X+DX/2
   -4.622925     0.175256    -4.535297
   -4.447548     0.175495    -4.359800
   -4.271938     0.175722    -4.184077
   -4.096109     0.175934    -4.008141
   -3.920075     0.176131    -3.832009
   -3.743854     0.176308    -3.655699
   -3.567465     0.176466    -3.479232
   -3.390929     0.176601    -3.302629
   -3.214272     0.176710    -3.125917
   -3.037519     0.176791    -2.949124
   -2.860701     0.176841    -2.772280
   -2.683849     0.176857    -2.595421
   -2.507000     0.176835    -2.418582
   -2.330193     0.176773    -2.241806
   -2.153469     0.176666    -2.065136
   -1.976876     0.176512    -1.888621
   -1.800463     0.176306    -1.712310
   -1.624283     0.176045    -1.536260
   -1.448392     0.175726    -1.360529
   -1.272851     0.175346    -1.185178
   -1.097722     0.174901    -1.010272
   -0.923072     0.174389    -0.835877
   -0.748967     0.173808    -0.662063
   -0.575479     0.173157    -0.488901
   -0.402678     0.172434    -0.316461
   -0.230636     0.171639    -0.144816
   -0.059423     0.170774     0.025964
    0.110890     0.169841     0.195811
    0.280237     0.168841     0.364657
    0.448552     0.167779     0.532441
    0.615775     0.166659     0.699105
    0.781853     0.165487     0.864596
    0.946735     0.164270     1.028869
    1.110379     0.163013     1.191886
    1.272751     0.161726     1.353614
    1.433823     0.160416     1.514031
    1.593577     0.159091     1.673123
    1.752003     0.157760     1.830883
    1.909098     0.156431     1.987313
    2.064868     0.155113     2.142425
    2.219329     0.153812     2.296235
    2.372501     0.152537     2.448769
    2.524412     0.151293     2.600059
    2.675099     0.150086     2.750142
    2.824600     0.148923     2.899061
    2.972961     0.147807     3.046864
    3.120231     0.146742     3.193602
    3.266462     0.145731     3.339328
    3.411711     0.144776     3.484099
    3.556034     0.143880     3.627974
    3.699490     0.143043     3.771012
    3.842139     0.142265     3.913272
    3.984041     0.141548     4.054815
    4.125255     0.140890     4.195700
    4.265841     0.140292     4.335987
    4.405858     0.139752     4.475734
    4.545364     0.139268     4.614998
    4.684414     0.138841     4.753834
    4.823064     0.138467     4.892297
    4.961366     0.138146     5.030439
    5.099373     0.137876     5.168311
    5.237134     0.137654     5.305961
    5.374697     0.137480     5.443437
    5.512108     0.137350     5.580783
    5.649411     0.137264     5.718043
    5.786649     0.137219     5.855259
    5.923863     0.137214     5.992470
    6.061090     0.137247     6.129714
    6.198369     0.137316     6.267027
    6.335734     0.137420     6.404444
    6.473220     0.137557     6.541998
    6.610858     0.137725     6.679720
    6.748680     0.137923     6.817641
    6.886714     0.138151     6.955790
    7.024990     0.138405     7.094193
    7.163534     0.138686     7.232877
    7.302371     0.138993     7.371868
    7.441527     0.139323     7.511189
    7.581025     0.139677     7.650863
    7.720888     0.140052     7.790914
    7.861137     0.140450     7.931362
    8.001794     0.140868     8.072228
    8.142879     0.141306     8.213532
    8.284411     0.141763     8.355293
    8.426411     0.142239     8.497531
    8.568896     0.142734     8.640263
    8.711885     0.143246     8.783508
    8.855395     0.143777     8.927283
    8.999444     0.144324     9.071606
    9.144049     0.144889     9.216493
    9.289227     0.145471     9.361962
    9.434995     0.146069     9.508030
    9.581371     0.146685     9.654713
    9.728370     0.147317     9.802029
    9.876010     0.147966     9.949994
   10.024309     0.148633    10.098625
   10.173283     0.149317    10.247941
   10.322950     0.150020    10.397959
   10.473328     0.150740    10.548698
   10.624436     0.151480    10.700176
   10.776294     0.152239    10.852413
   10.928921     0.153018    11.005430
   11.082337     0.153818    11.159246
   11.236565     0.154641    11.313885
   11.391626     0.155486    11.469369
   11.547545     0.156356    11.625724
   11.704347     0.157252    11.782974
   11.862059     0.158175    11.941146
   12.020707     0.159127    12.100271
   12.180323     0.160110    12.260378
   12.340939     0.161126    12.421502
   12.502587     0.162177    12.583676
   12.665306     0.163267    12.746939
